ORDERDATE,SALES,PRODUCTLINE,DEALSIZE,COUNTRY
2005-05-31,12001.0,Classic Cars,Large,Spain
2003-02-24,3896.49,Motorcycles,Medium,USA
2003-04-29,2793.86,Motorcycles,Small,Australia
2003-07-01,3307.77,Motorcycles,Medium,France
2003-08-25,5192.95,Motorcycles,Medium,USA
2003-10-10,5016.83,Motorcycles,Medium,USA
2003-10-28,3660.93,Motorcycles,Medium,USA
2003-11-11,4695.6,Motorcycles,Medium,France
2003-11-18,3660.92,Motorcycles,Medium,Norway
2003-12-01,3025.92,Motorcycles,Medium,USA
2004-01-12,3009.09,Motorcycles,Medium,Japan
2004-02-20,5422.39,Motorcycles,Medium,Australia
2004-04-03,2852.08,Motorcycles,Small,USA
2004-05-18,5756.52,Motorcycles,Medium,USA
2004-06-28,4472.0,Motorcycles,Medium,USA
2004-07-23,2904.44,Motorcycles,Small,France
2004-08-27,6484.59,Motorcycles,Medium,USA
2004-09-27,3757.26,Motorcycles,Medium,France
2004-10-15,4043.96,Motorcycles,Medium,USA
2004-11-02,5566.5,Motorcycles,Medium,USA
2004-11-15,3176.0,Motorcycles,Medium,USA
2004-11-23,2756.8,Motorcycles,Small,Japan
2004-12-17,1329.9,Motorcycles,Small,Australia
2005-02-02,5288.01,Motorcycles,Medium,Australia
2005-03-03,2225.5,Motorcycles,Small,USA
2005-04-07,5833.8,Motorcycles,Medium,France
2005-05-13,5887.35,Motorcycles,Medium,Spain
2003-02-24,6065.55,Motorcycles,Medium,USA
2003-04-29,9264.86,Motorcycles,Large,Australia
2003-07-01,7023.98,Motorcycles,Large,France
2003-08-25,5176.38,Motorcycles,Medium,USA
2003-10-10,4132.7,Motorcycles,Medium,USA
2003-10-28,4183.0,Motorcycles,Medium,USA
2003-11-11,8892.9,Motorcycles,Large,France
2003-11-18,8714.7,Motorcycles,Large,Norway
2003-12-01,8065.89,Motorcycles,Large,USA
2004-01-12,6123.4,Motorcycles,Medium,Japan
2004-02-20,9774.03,Motorcycles,Large,Australia
2004-04-05,7023.9,Motorcycles,Large,USA
2004-05-18,7078.23,Motorcycles,Large,USA
2004-06-28,8336.94,Motorcycles,Large,USA
2004-07-23,6901.92,Motorcycles,Medium,France
2004-08-27,5438.07,Motorcycles,Medium,USA
2004-09-30,6683.34,Motorcycles,Medium,Finland
2004-10-15,4570.4,Motorcycles,Medium,USA
2004-11-02,7667.14,Motorcycles,Large,USA
2004-11-15,5868.2,Motorcycles,Medium,USA
2004-11-23,2990.13,Motorcycles,Small,Japan
2005-01-05,3664.1,Motorcycles,Medium,USA
2005-02-02,3834.38,Motorcycles,Medium,Australia
2005-03-03,1822.17,Motorcycles,Small,USA
2005-04-08,11886.6,Motorcycles,Large,UK
2005-05-13,9218.16,Motorcycles,Large,Spain
2003-02-11,7208.0,Classic Cars,Large,Denmark
2003-04-28,5004.8,Classic Cars,Medium,Austria
2003-06-12,4398.24,Classic Cars,Medium,UK
2003-08-10,5597.76,Classic Cars,Medium,USA
2003-10-06,4526.08,Classic Cars,Medium,Finland
2003-10-23,5924.16,Classic Cars,Medium,Sweden
2003-11-08,3492.48,Classic Cars,Medium,France
2003-11-14,3854.24,Classic Cars,Medium,UK
2003-11-26,5324.4,Classic Cars,Medium,Spain
2004-01-09,5197.92,Classic Cars,Medium,USA
2004-02-19,5997.6,Classic Cars,Medium,USA
2004-05-07,2910.4,Classic Cars,Small,USA
2004-06-17,3378.24,Classic Cars,Medium,Canada
2004-07-21,3508.8,Classic Cars,Medium,Belgium
2004-08-20,2992.0,Classic Cars,Small,Canada
2004-09-10,3427.2,Classic Cars,Medium,USA
2004-10-14,2692.8,Classic Cars,Small,USA
2004-11-01,4128.96,Classic Cars,Medium,UK
2004-11-05,3051.71,Classic Cars,Medium,Norway
2004-11-21,1201.25,Classic Cars,Small,USA
2004-12-02,1962.22,Classic Cars,Small,Spain
2004-12-15,2624.64,Classic Cars,Small,France
2005-01-31,4046.25,Classic Cars,Medium,Finland
2005-02-23,4846.7,Classic Cars,Medium,USA
2005-03-17,3370.56,Classic Cars,Medium,France
2005-04-01,9661.44,Classic Cars,Large,USA
2005-05-06,2764.88,Classic Cars,Small,USA
2003-01-29,5398.26,Classic Cars,Medium,Norway
2003-04-01,4305.28,Classic Cars,Medium,France
2003-05-28,3347.74,Classic Cars,Medium,Spain
2003-07-24,3188.12,Classic Cars,Medium,USA
2003-09-19,3191.2,Classic Cars,Medium,Singapore
2003-10-21,3536.82,Classic Cars,Medium,Austria
2003-11-06,5362.83,Classic Cars,Medium,UK
2003-11-13,3433.36,Classic Cars,Medium,USA
2003-11-25,4263.74,Classic Cars,Medium,France
2003-12-09,4076.19,Classic Cars,Medium,USA
2004-02-04,7020.48,Classic Cars,Large,Singapore
2004-03-11,6426.5,Classic Cars,Medium,USA
2004-05-04,4591.72,Classic Cars,Medium,USA
2004-06-15,4033.38,Classic Cars,Medium,Singapore
2004-07-19,4302.08,Classic Cars,Medium,Australia
2004-08-19,7020.64,Classic Cars,Large,USA
2004-09-08,3855.9,Classic Cars,Medium,Sweden
2004-10-13,6680.78,Classic Cars,Medium,USA
2004-10-22,6678.0,Classic Cars,Medium,Canada
2004-11-04,2851.54,Classic Cars,Small,USA
2004-11-19,3188.12,Classic Cars,Medium,Sweden
2004-11-29,4428.0,Classic Cars,Medium,Australia
2004-12-10,5780.92,Classic Cars,Medium,USA
2005-01-20,2297.05,Classic Cars,Small,Australia
2005-02-17,6231.54,Classic Cars,Medium,USA
2005-03-09,1735.3,Classic Cars,Small,Australia
2005-05-01,4427.73,Classic Cars,Medium,Canada
2005-05-31,5894.94,Classic Cars,Medium,France
2003-03-03,5265.15,Classic Cars,Medium,Philippines
2003-05-08,7599.9,Classic Cars,Large,France
2003-07-02,8008.56,Classic Cars,Large,USA
2003-09-05,9245.76,Classic Cars,Large,USA
2003-10-10,8296.35,Classic Cars,Large,USA
2003-11-04,5019.9,Classic Cars,Medium,Australia
2003-11-12,5411.07,Classic Cars,Medium,Norway
2003-11-20,3840.9,Classic Cars,Medium,Germany
2003-12-02,3930.4,Classic Cars,Medium,Spain
2004-01-15,7498.9,Classic Cars,Large,France
2004-02-22,4517.91,Classic Cars,Medium,Switzerland
2004-04-09,5774.72,Classic Cars,Medium,Denmark
2004-06-01,3922.56,Classic Cars,Medium,UK
2004-07-06,9160.36,Classic Cars,Large,Italy
2004-08-02,9631.0,Classic Cars,Large,USA
2004-08-30,3432.24,Classic Cars,Medium,Switzerland
2003-10-04,5521.89,Classic Cars,Medium,Germany
2004-10-16,6934.62,Classic Cars,Medium,Germany
2004-11-03,6876.11,Classic Cars,Medium,Sweden
2004-11-15,2930.27,Classic Cars,Small,USA
2004-11-24,3584.25,Classic Cars,Medium,Austria
2005-01-06,2817.87,Classic Cars,Small,Finland
2005-02-03,3420.0,Classic Cars,Medium,France
2005-03-03,2575.04,Classic Cars,Small,Sweden
2005-05-17,1961.28,Classic Cars,Small,Austria
2003-02-11,8690.36,Classic Cars,Large,Denmark
2003-04-16,6034.38,Classic Cars,Medium,Singapore
2003-06-03,11279.2,Classic Cars,Large,USA
2003-08-08,8023.29,Classic Cars,Large,USA
2003-09-28,4904.0,Classic Cars,Medium,Spain
2003-10-22,8594.52,Classic Cars,Large,Singapore
2003-11-06,7474.5,Classic Cars,Large,Italy
2003-11-14,3883.74,Classic Cars,Medium,USA
2003-11-26,8887.7,Classic Cars,Large,USA
2004-01-02,8602.92,Classic Cars,Large,France
2004-02-12,7181.44,Classic Cars,Large,Ireland
2004-03-19,8378.58,Classic Cars,Large,Spain
2004-05-05,10606.2,Classic Cars,Large,Finland
2004-07-20,5818.4,Classic Cars,Medium,USA
2004-08-20,7071.27,Classic Cars,Large,USA
2004-09-09,8411.56,Classic Cars,Large,Italy
2004-10-14,6570.76,Classic Cars,Medium,UK
2004-10-22,7975.44,Classic Cars,Large,Denmark
2004-11-05,2688.0,Classic Cars,Small,Norway
2004-11-20,1888.26,Classic Cars,Small,France
2004-11-01,2513.28,Classic Cars,Small,Spain
2004-12-15,4764.48,Classic Cars,Medium,France
2005-01-23,3560.64,Classic Cars,Medium,USA
2005-02-17,3823.64,Classic Cars,Medium,USA
2005-03-17,2280.96,Classic Cars,Small,France
2005-05-05,8677.8,Classic Cars,Large,USA
2003-01-29,3394.98,Trucks and Buses,Medium,Norway
2003-03-26,3415.44,Trucks and Buses,Medium,USA
2003-05-28,2439.57,Trucks and Buses,Small,Spain
2003-07-24,4829.8,Trucks and Buses,Medium,USA
2003-09-19,4100.1,Trucks and Buses,Medium,Singapore
2003-10-21,6563.06,Trucks and Buses,Medium,Austria
2003-11-06,6817.22,Trucks and Buses,Medium,Australia
2003-11-13,6163.94,Trucks and Buses,Medium,USA
2003-11-25,4933.92,Trucks and Buses,Medium,France
2003-12-05,4056.36,Trucks and Buses,Medium,Canada
2004-02-02,5759.42,Trucks and Buses,Medium,France
2004-03-11,3451.0,Trucks and Buses,Medium,USA
2004-05-04,5920.4,Trucks and Buses,Medium,USA
2004-06-15,6668.24,Trucks and Buses,Medium,Japan
2004-07-19,4094.72,Trucks and Buses,Medium,Australia
2004-08-19,2938.5,Trucks and Buses,Small,USA
2004-09-08,6387.8,Trucks and Buses,Medium,Sweden
2004-10-11,6396.0,Trucks and Buses,Medium,France
2004-10-22,2669.1,Trucks and Buses,Small,Canada
2004-11-04,4784.13,Trucks and Buses,Medium,USA
2004-11-18,3273.93,Trucks and Buses,Medium,USA
2004-11-29,3586.43,Trucks and Buses,Medium,Australia
2004-12-10,5960.36,Trucks and Buses,Medium,USA
2005-01-20,8470.14,Trucks and Buses,Large,Australia
2005-02-17,2952.0,Trucks and Buses,Small,USA
2005-03-09,2464.8,Trucks and Buses,Small,Australia
2005-05-01,6232.0,Trucks and Buses,Medium,Canada
2005-05-31,7969.36,Trucks and Buses,Large,Spain
2003-02-24,3036.6,Motorcycles,Medium,USA
2003-05-07,8284.0,Motorcycles,Large,France
2003-07-01,2711.2,Motorcycles,Small,France
2003-08-25,8339.8,Motorcycles,Large,USA
2003-10-10,6238.84,Motorcycles,Medium,USA
2003-11-04,4639.25,Motorcycles,Medium,Australia
2003-11-11,6747.6,Motorcycles,Medium,France
2003-11-18,4512.48,Motorcycles,Medium,USA
2003-12-01,4029.0,Motorcycles,Medium,USA
2004-01-15,4771.8,Motorcycles,Medium,France
2004-02-21,6087.94,Motorcycles,Medium,France
2004-04-05,4193.28,Motorcycles,Medium,USA
2004-05-18,7552.28,Motorcycles,Large,USA
2004-06-28,6434.4,Motorcycles,Medium,USA
2004-08-02,5181.5,Motorcycles,Medium,USA
2004-08-27,6863.92,Motorcycles,Medium,USA
2004-09-30,4157.04,Motorcycles,Medium,Finland
2004-10-15,4660.24,Motorcycles,Medium,Norway
2004-11-03,4111.8,Motorcycles,Medium,USA
2004-11-15,3542.64,Motorcycles,Medium,USA
2004-11-24,8118.55,Motorcycles,Large,Austria
2005-01-05,3877.06,Motorcycles,Medium,USA
2005-02-03,3867.08,Motorcycles,Medium,France
2005-03-03,5951.44,Motorcycles,Medium,USA
2005-04-08,8648.64,Motorcycles,Large,UK
2005-05-13,3447.78,Motorcycles,Medium,Spain
2003-01-31,5958.5,Classic Cars,Medium,Spain
2003-04-16,5911.64,Classic Cars,Medium,Singapore
2003-06-03,7366.44,Classic Cars,Large,USA
2003-08-08,4985.64,Classic Cars,Medium,USA
2003-09-28,5393.64,Classic Cars,Medium,Spain
2003-10-22,4880.02,Classic Cars,Medium,Singapore
2003-11-06,8378.69,Classic Cars,Large,Italy
2003-11-14,4038.21,Classic Cars,Medium,USA
2003-11-26,3807.12,Classic Cars,Medium,USA
2004-01-02,3142.36,Classic Cars,Medium,France
2004-02-12,4713.6,Classic Cars,Medium,Ireland
2004-03-15,7016.31,Classic Cars,Large,Germany
2004-05-05,4381.25,Classic Cars,Medium,Finland
2004-07-20,4283.01,Classic Cars,Medium,USA
2004-08-20,4364.82,Classic Cars,Medium,USA
2004-09-09,4242.24,Classic Cars,Medium,Italy
2004-10-14,4982.7,Classic Cars,Medium,UK
2004-10-22,6393.54,Classic Cars,Medium,Denmark
2004-11-05,1466.91,Classic Cars,Small,USA
2004-11-20,4059.33,Classic Cars,Medium,France
2004-11-01,4801.52,Classic Cars,Medium,Spain
2004-12-10,2711.66,Classic Cars,Small,Spain
2005-01-26,5862.0,Classic Cars,Medium,Japan
2005-02-17,4071.85,Classic Cars,Medium,USA
2005-05-05,8236.75,Classic Cars,Large,USA
2003-03-03,6130.35,Classic Cars,Medium,Philippines
2003-05-08,3693.34,Classic Cars,Medium,France
2003-07-02,6031.68,Classic Cars,Medium,USA
2003-09-05,3494.94,Classic Cars,Medium,USA
2003-10-11,5294.14,Classic Cars,Medium,USA
2003-11-04,5464.69,Classic Cars,Medium,Austria
2003-11-12,2860.76,Classic Cars,Small,Norway
2003-11-20,5590.0,Classic Cars,Medium,Germany
2003-12-02,2254.8,Classic Cars,Small,Spain
2004-01-16,4946.76,Classic Cars,Medium,Spain
2004-02-22,2495.5,Classic Cars,Small,Switzerland
2004-04-09,3167.38,Classic Cars,Medium,Denmark
2004-06-01,2402.84,Classic Cars,Small,UK
2004-07-06,2454.54,Classic Cars,Small,Italy
2004-08-02,5464.69,Classic Cars,Medium,USA
2004-08-30,4756.5,Classic Cars,Medium,Switzerland
2003-10-04,3984.6,Classic Cars,Medium,Germany
2004-10-16,3100.32,Classic Cars,Medium,Germany
2004-11-03,4850.3,Classic Cars,Medium,Sweden
2004-11-15,3846.98,Classic Cars,Medium,USA
2004-11-24,4220.92,Classic Cars,Medium,Austria
2005-01-06,3288.82,Classic Cars,Medium,Finland
2005-02-08,3987.2,Classic Cars,Medium,USA
2005-03-03,1809.5,Classic Cars,Small,Sweden
2005-05-17,1092.2,Classic Cars,Small,Austria
2003-02-11,4566.05,Classic Cars,Medium,Denmark
2003-04-16,5938.14,Classic Cars,Medium,Singapore
2003-06-03,8138.76,Classic Cars,Large,USA
2003-08-08,9470.94,Classic Cars,Large,USA
2003-09-28,7036.89,Classic Cars,Large,Spain
2003-10-22,5559.03,Classic Cars,Medium,Singapore
2003-11-06,7872.5,Classic Cars,Large,Italy
2003-11-14,7886.2,Classic Cars,Large,USA
2003-11-26,7232.16,Classic Cars,Large,USA
2004-01-02,3114.4,Classic Cars,Medium,France
2004-02-12,5045.22,Classic Cars,Medium,Ireland
2004-03-19,6952.12,Classic Cars,Medium,Spain
2004-05-05,4157.73,Classic Cars,Medium,Finland
2004-07-20,7962.24,Classic Cars,Large,USA
2004-08-20,3778.8,Classic Cars,Medium,USA
2004-09-09,8253.0,Classic Cars,Large,Italy
2004-10-14,3633.4,Classic Cars,Medium,UK
2004-10-22,6913.8,Classic Cars,Medium,Denmark
2004-11-05,2583.6,Classic Cars,Small,Norway
2004-11-20,3105.62,Classic Cars,Medium,France
2004-12-01,4408.56,Classic Cars,Medium,USA
2004-12-15,3042.41,Classic Cars,Medium,France
2005-01-26,5941.5,Classic Cars,Medium,Japan
2005-02-17,3241.9,Classic Cars,Medium,USA
2005-03-23,6109.29,Classic Cars,Medium,USA
2005-05-05,3387.78,Classic Cars,Medium,USA
2003-03-03,3485.82,Classic Cars,Medium,Philippines
2003-05-08,2042.88,Classic Cars,Small,France
2003-07-02,1800.24,Classic Cars,Small,USA
2003-09-05,1340.64,Classic Cars,Small,USA
2003-10-10,1762.08,Classic Cars,Small,USA
2003-11-04,2298.24,Classic Cars,Small,Australia
2003-11-12,1628.0,Classic Cars,Small,Norway
2003-11-20,1939.2,Classic Cars,Small,Germany
2003-12-02,3651.56,Classic Cars,Medium,Spain
2004-01-15,2591.96,Classic Cars,Small,France
2004-02-22,2864.17,Classic Cars,Small,Switzerland
2004-04-09,1484.2,Classic Cars,Small,Denmark
2004-06-01,2254.25,Classic Cars,Small,UK
2004-07-06,2681.35,Classic Cars,Small,Italy
2004-08-02,3184.02,Classic Cars,Medium,USA
2004-08-30,2846.63,Classic Cars,Small,Switzerland
2003-10-04,1685.42,Classic Cars,Small,Germany
2004-10-16,3988.6,Classic Cars,Medium,Germany
2004-11-03,2789.96,Classic Cars,Small,Sweden
2004-11-15,3607.56,Classic Cars,Medium,USA
2004-11-24,3368.16,Classic Cars,Medium,Austria
2005-01-06,2775.08,Classic Cars,Small,Finland
2005-02-09,1627.92,Classic Cars,Small,Finland
2005-03-03,2529.36,Classic Cars,Small,Sweden
2005-05-17,3065.78,Classic Cars,Medium,Austria
2003-01-31,4615.78,Trucks and Buses,Medium,Spain
2003-04-04,5723.78,Trucks and Buses,Medium,USA
2003-06-03,2559.6,Trucks and Buses,Small,USA
2003-08-01,2140.11,Trucks and Buses,Small,Finland
2003-09-21,3327.6,Trucks and Buses,Medium,Finland
2003-10-22,6825.6,Trucks and Buses,Medium,Singapore
2003-11-06,3543.28,Trucks and Buses,Medium,UK
2003-11-14,4516.22,Trucks and Buses,Medium,Spain
2003-11-25,6445.46,Trucks and Buses,Medium,USA
2003-12-09,3384.36,Trucks and Buses,Medium,USA
2004-02-10,4891.68,Trucks and Buses,Medium,USA
2004-03-11,4521.96,Trucks and Buses,Medium,USA
2004-05-05,5069.66,Trucks and Buses,Medium,Spain
2004-06-15,6541.2,Trucks and Buses,Medium,Singapore
2004-07-20,3012.27,Trucks and Buses,Medium,USA
2004-08-19,5247.18,Trucks and Buses,Medium,USA
2004-09-08,2214.87,Trucks and Buses,Small,USA
2004-10-13,4773.18,Trucks and Buses,Medium,USA
2004-10-22,6185.7,Trucks and Buses,Medium,Denmark
2004-11-05,1517.88,Trucks and Buses,Small,USA
2004-11-20,6372.6,Trucks and Buses,Medium,France
2004-12-01,5232.96,Trucks and Buses,Medium,USA
2004-12-10,2694.72,Trucks and Buses,Small,Spain
2005-01-23,1749.79,Trucks and Buses,Small,USA
2005-02-17,2130.56,Trucks and Buses,Small,USA
2005-05-03,5951.34,Trucks and Buses,Medium,Spain
2005-05-31,4692.6,Trucks and Buses,Medium,France
2003-03-03,3731.04,Classic Cars,Medium,Philippines
2003-05-08,2142.0,Classic Cars,Small,France
2003-07-02,2838.81,Classic Cars,Small,USA
2003-09-05,3230.37,Classic Cars,Medium,USA
2003-10-11,5182.0,Classic Cars,Medium,USA
2003-11-04,4391.1,Classic Cars,Medium,Austria
2003-11-12,4477.32,Classic Cars,Medium,Norway
2003-11-20,3544.56,Classic Cars,Medium,USA
2003-12-02,5195.85,Classic Cars,Medium,Spain
2004-01-16,4180.44,Classic Cars,Medium,Spain
2004-02-22,2684.43,Classic Cars,Small,Switzerland
2004-04-12,1958.88,Classic Cars,Small,Finland
2004-06-01,4910.57,Classic Cars,Medium,UK
2004-07-06,4468.4,Classic Cars,Medium,Italy
2004-08-04,3127.88,Classic Cars,Medium,Singapore
2004-08-30,2675.13,Classic Cars,Small,Switzerland
2003-10-04,2807.61,Classic Cars,Small,Germany
2004-10-16,2504.75,Classic Cars,Small,Germany
2004-11-04,2984.88,Classic Cars,Small,USA
2004-11-15,2524.86,Classic Cars,Small,USA
2004-11-24,4136.0,Classic Cars,Medium,Austria
2005-01-06,4068.7,Classic Cars,Medium,Finland
2005-02-09,5182.0,Classic Cars,Medium,Finland
2005-03-03,5243.79,Classic Cars,Medium,Sweden
2005-04-14,9048.16,Classic Cars,Large,France
2005-05-17,3832.64,Classic Cars,Medium,Austria
2003-01-29,3920.0,Trucks and Buses,Medium,Norway
2003-03-26,4916.66,Trucks and Buses,Medium,USA
2003-05-28,3857.0,Trucks and Buses,Medium,Spain
2003-07-24,4181.44,Trucks and Buses,Medium,USA
2003-09-19,4641.0,Trucks and Buses,Medium,Singapore
2003-10-21,3570.12,Trucks and Buses,Medium,Austria
2003-11-06,4480.32,Trucks and Buses,Medium,Australia
2003-11-13,2033.64,Trucks and Buses,Small,USA
2003-11-25,1960.14,Trucks and Buses,Small,France
2003-12-05,3966.78,Trucks and Buses,Medium,Canada
2004-01-29,5152.0,Trucks and Buses,Medium,USA
2004-03-10,3360.0,Trucks and Buses,Medium,USA
2004-05-04,3451.0,Trucks and Buses,Medium,USA
2004-06-15,5453.0,Trucks and Buses,Medium,Japan
2004-07-19,4164.12,Trucks and Buses,Medium,Australia
2004-08-17,2800.08,Trucks and Buses,Small,Italy
2004-09-08,4687.94,Trucks and Buses,Medium,Sweden
2004-10-11,4508.0,Trucks and Buses,Medium,France
2004-10-21,4181.44,Trucks and Buses,Medium,USA
2004-11-04,2251.04,Trucks and Buses,Small,USA
2004-11-18,1167.25,Trucks and Buses,Small,USA
2004-11-29,2083.2,Trucks and Buses,Small,Australia
2004-12-10,3822.0,Trucks and Buses,Medium,USA
2005-01-20,3911.49,Trucks and Buses,Medium,Australia
2005-02-17,4704.0,Trucks and Buses,Medium,USA
2005-03-09,2467.9,Trucks and Buses,Small,Australia
2005-05-01,3213.0,Trucks and Buses,Medium,Canada
2005-05-31,7182.0,Trucks and Buses,Large,Spain
2003-03-10,4379.18,Classic Cars,Medium,USA
2003-05-08,5004.8,Classic Cars,Medium,France
2003-07-04,3644.75,Classic Cars,Medium,France
2003-09-11,2702.04,Classic Cars,Small,Australia
2003-10-17,3764.88,Classic Cars,Medium,Denmark
2003-11-05,4508.0,Classic Cars,Medium,Canada
2003-11-12,5418.16,Classic Cars,Medium,Norway
2003-11-20,3300.66,Classic Cars,Medium,USA
2003-12-02,6182.4,Classic Cars,Medium,USA
2004-01-16,4186.73,Classic Cars,Medium,Spain
2004-02-22,4529.28,Classic Cars,Medium,Switzerland
2004-04-13,5628.89,Classic Cars,Medium,Japan
2004-06-01,3054.48,Classic Cars,Medium,UK
2004-07-06,2526.51,Classic Cars,Small,Italy
2004-08-06,4667.86,Classic Cars,Medium,USA
2004-08-30,6499.32,Classic Cars,Medium,Switzerland
2003-10-05,5917.78,Classic Cars,Medium,Norway
2004-10-16,6231.91,Classic Cars,Medium,Germany
2004-11-04,5803.14,Classic Cars,Medium,USA
2004-11-17,6434.02,Classic Cars,Medium,USA
2004-11-24,6454.4,Classic Cars,Medium,Australia
2004-12-09,4196.8,Classic Cars,Medium,France
2005-01-07,2611.8,Classic Cars,Small,USA
2005-02-09,5895.05,Classic Cars,Medium,Finland
2005-03-04,3375.72,Classic Cars,Medium,USA
2005-04-15,8374.69,Classic Cars,Large,Denmark
2005-05-17,4464.24,Classic Cars,Medium,Austria
2003-01-10,4808.31,Vintage Cars,Medium,USA
2003-03-25,3288.78,Vintage Cars,Medium,USA
2003-05-21,3254.72,Vintage Cars,Medium,Australia
2003-07-16,3184.94,Vintage Cars,Medium,Australia
2003-09-12,5907.5,Vintage Cars,Medium,USA
2003-10-18,4389.12,Vintage Cars,Medium,USA
2003-11-05,5036.16,Vintage Cars,Medium,Italy
2003-11-12,2183.25,Vintage Cars,Small,USA
2003-11-21,3106.88,Vintage Cars,Medium,Australia
2003-12-03,3735.72,Vintage Cars,Medium,Spain
2004-01-29,2413.26,Vintage Cars,Small,USA
2004-03-02,2953.75,Vintage Cars,Small,France
2004-04-29,4684.8,Vintage Cars,Medium,Spain
2004-06-08,3248.7,Vintage Cars,Medium,Denmark
2004-08-17,5239.5,Vintage Cars,Medium,Italy
2004-09-03,4567.98,Vintage Cars,Medium,Norway
2004-10-11,3535.35,Vintage Cars,Medium,France
2004-10-21,3843.34,Vintage Cars,Medium,USA
2004-11-04,3710.9,Vintage Cars,Medium,USA
2004-11-17,4375.98,Vintage Cars,Medium,UK
2004-11-29,1516.62,Vintage Cars,Small,USA
2004-12-09,2509.0,Vintage Cars,Small,France
2005-01-20,9240.44,Vintage Cars,Large,USA
2005-02-16,2515.32,Vintage Cars,Small,Spain
2005-03-09,5548.9,Vintage Cars,Medium,Australia
2005-05-30,4873.05,Vintage Cars,Medium,USA
2003-01-10,2055.74,Vintage Cars,Small,USA
2003-03-25,2354.88,Vintage Cars,Small,USA
2003-05-28,2309.58,Vintage Cars,Small,Spain
2003-07-16,2113.37,Vintage Cars,Small,Australia
2003-09-12,1746.6,Vintage Cars,Small,USA
2003-10-18,2304.45,Vintage Cars,Small,USA
2003-11-05,2122.08,Vintage Cars,Small,Italy
2003-11-12,1742.4,Vintage Cars,Small,USA
2003-11-21,2455.02,Vintage Cars,Small,Australia
2003-12-03,3053.28,Vintage Cars,Medium,Spain
2004-01-29,1423.29,Vintage Cars,Small,USA
2004-03-02,1504.12,Vintage Cars,Small,France
2004-04-29,1164.4,Vintage Cars,Small,Spain
2004-06-08,1500.75,Vintage Cars,Small,Denmark
2004-08-17,1557.36,Vintage Cars,Small,Italy
2004-09-03,1345.68,Vintage Cars,Small,Norway
2004-10-11,1795.24,Vintage Cars,Small,France
2004-10-21,1105.25,Vintage Cars,Small,USA
2004-11-04,2364.88,Vintage Cars,Small,USA
2004-11-17,2427.03,Vintage Cars,Small,UK
2004-11-29,1237.95,Vintage Cars,Small,Australia
2004-12-09,1593.02,Vintage Cars,Small,France
2005-01-20,3156.16,Vintage Cars,Medium,USA
2005-02-17,1320.75,Vintage Cars,Small,USA
